"words","Outbreak","Emotional.Effect","Symptom","Hospital.Related","Immune.Reaction","Disease.Relations","Policy","Psychological.Problem","Analysis.of.Transmission","Cardiovascular.System","Protective.Equipment","Anosmia","Respiratory.System","Treatment","Diagnosis","Virus.Analysis","Virus.Defense.Mechanism","Literature.Analysis","Microbiome.","Immune.System"
"coagul",5.06e-05,0.000673739,0.000225207,3.23e-08,0.000298077,0.00248579,0.00451606,1.01e-07,0.000517671,0.0115697,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.0012257,8.7e-08,7.12e-08,0.000416592,9.11e-08
"coagulopathi",8.42e-08,9.76e-08,0.000278166,3.23e-08,0.00110801,0.00037856,1.51e-07,1.01e-07,8.35e-08,0.00657464,3e-08,4.77e-08,5.86e-06,8.85e-08,4.89e-08,2.52e-05,0.00027841,7.12e-08,4.04e-08,9.11e-08
"coba",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0022568,3.43e-05,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"codon",8.42e-08,9.76e-08,1.32e-07,3.26e-06,4.34e-06,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00217697
"comorbid",0.000404123,9.76e-08,1.32e-07,0.001474,0.00821816,0.00371111,0.0042442,0.00207186,0.00166972,0.00634514,0.00169232,4.77e-08,5.81e-08,8.85e-08,0.00138951,0.0110216,8.7e-08,7.12e-08,0.00173095,9.11e-08
"compani",8.42e-08,9.76e-08,1.32e-07,7.44e-05,0.000114492,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000530182,0.00299551,5.81e-08,0.000814274,0.000445262,3.14e-08,0.000208829,0.000947416,0.000194161,3.65e-05
"concord",8.42e-08,9.76e-08,1.32e-07,6.79e-05,0.000330475,3.9e-08,0.000272012,1.01e-07,8.35e-08,6.75e-08,6.59e-05,4.77e-08,5.81e-05,0.0021506,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000100282
"confid",0.000235774,9.76e-08,1.32e-07,0.000562469,2.16e-08,3.9e-08,0.000951663,0.00428442,8.35e-08,0.00024982,0.00132691,0.000200381,0.00396005,0.00152226,0.00321928,0.00830627,0.00113077,7.12e-08,4.04e-08,9.11e-08
"consequ",8.42e-08,0.00041014,0.00178749,0.00233059,0.00107345,0.00314137,1.51e-07,0.00264511,0.0043161,0.00274735,0.00678418,0.0063821,0.00106264,8.85e-08,0.00642384,3.14e-08,8.7e-08,7.12e-08,0.00321113,0.00109308
"consolid",0.024234,9.76e-08,1.32e-07,3.23e-08,0.000974103,0.000335635,0.0011178,0.00104604,0.000692983,6.75e-08,0.000347474,0.000205151,5.81e-08,8.85e-08,4.89e-08,0.00121941,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"consum",8.42e-08,9.86e-06,0.00100635,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.00020257,0.000967483,0.00331032,0.000232316,0.000318683,4.89e-08,0.000116313,8.7e-08,0.000163898,4.04e-08,9.11e-08
"contact",0.00388054,0.0009471,0.00099311,0.00256332,2.16e-08,0.000124912,1.51e-07,0.00137792,0.00136919,6.75e-08,0.00474444,0.00134037,0.00729876,0.00370817,0.0050246,0.00434329,0.00220927,0.0101858,0.0105149,0.00224072
"contain",0.00218021,0.00100568,0.00146974,0.00330354,0.00307993,3.9e-08,0.00243179,0.00181038,0.000776465,0.000337571,0.00141377,0.00334371,0.0115723,0.000929321,0.00267133,3.14e-08,0.00078287,0.00202297,0.00129014,0.00312422
"contraind",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000431987,0.000148326,1.51e-07,1.01e-07,8.35e-08,0.000371322,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.00220058,0.000206635,4.04e-08,9.11e-08
"convalesc",8.42e-08,0.00041014,1.32e-07,0.000271553,0.00161773,0.000854638,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00310638,4.94e-06,0.000323733,0.0024702,7.12e-08,0.00103535,0.00102932
"copyright",8.42e-08,0.000117253,1.32e-07,0.000543074,0.00246222,0.000991218,1.51e-07,0.00161929,0.00735484,6.75e-08,0.000479264,0.000825231,5.81e-08,0.00128331,0.00010279,0.0030202,8.7e-08,0.000826327,0.00195743,0.00203123
"coronari",8.42e-08,9.76e-08,1.32e-07,0.000640046,0.00159397,0.000171739,0.00152559,1.01e-07,8.35e-08,0.00631814,7.49e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,6.6e-05,8.7e-08,7.12e-08,0.000218427,9.11e-08
"coronavirus-2",8.42e-08,0.0024213,1.32e-07,0.00030711,0.000166328,0.000983414,1.51e-07,0.000301813,0.0010603,0.000607575,3e-08,4.77e-08,5.81e-08,0.00155766,4.89e-08,0.000748002,0.00078287,0.000833449,0.00485307,0.000883592
"correl",0.00334182,9.76e-08,0.00254215,0.000323272,0.000503261,0.0012995,0.00647949,3.03e-05,0.00170311,0.000708826,3e-08,0.00215602,0.00685747,0.00260194,0.00752953,0.00418929,0.000904636,7.12e-08,0.00050152,0.00182174
"cough",0.0166919,0.000390614,1.32e-07,3.23e-08,0.00265877,0.000183446,0.00403275,0.00237357,0.00563511,0.00118808,3e-08,4.77e-08,5.81e-08,8.85e-08,0.000190855,0.00828113,0.00213969,0.00322674,0.00902667,9.11e-08
"covid",8.42e-08,0.00135714,1.32e-07,0.00849799,0.00781211,0.003875,1.51e-07,0.00521973,0.0201276,0.00654089,0.00845251,0.00434538,0.000778122,0.00315948,0.00319971,0.011097,0.00423581,0.00702324,0.00686707,0.00185818
"covid-19",0.0305134,0.0247491,0.00545489,0.0411322,2.16e-08,0.0238586,0.0118412,0.0174693,0.0200357,0.0372537,0.0358497,0.0328929,0.0413303,0.0253283,0.0356514,0.0547213,0.0320855,0.0264474,0.0573102,0.0162219
"cq",8.42e-08,0.000898286,1.32e-07,3.23e-08,2.16e-08,0.000456606,1.51e-07,0.00048284,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000203635,4.89e-08,3.14e-08,0.00292248,7.12e-08,4.04e-08,9.11e-08
"crazi",0.00350176,9.86e-06,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,9.06e-05,0.00020044,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"crazy-pav",0.00344283,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.000211598,0.00031187,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000326876,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"creatin",0.000117929,9.76e-08,0.000397323,3.23e-08,2.16e-08,3.9e-08,0.00283958,1.01e-07,0.000325663,0.000540074,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00111256,8.71e-05,7.12e-08,4.04e-08,9.11e-08
"creatinin",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.0029,1.01e-07,8.35e-08,0.000276821,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00200195,0.00100031,7.12e-08,7.28e-05,9.11e-08
"crise",8.42e-08,9.76e-08,0.000397323,0.000135793,0.00026136,3.91e-05,1.51e-07,0.000130843,8.35e-08,6.75e-08,0.00244712,0.00323877,5.81e-08,8.85e-08,0.000322951,3.14e-08,2.62e-05,7.12e-08,0.000408503,9.11e-08
"crisi",8.42e-08,0.00105449,1.32e-07,0.00644542,2.16e-08,0.000359049,1.51e-07,1.01e-07,8.35e-08,0.000999079,0.0110883,0.0141188,0.000778122,0.000672676,0.00486315,0.000911424,0.00145258,0.00285635,0.00425857,0.000956459
"criteria",0.00107752,9.76e-08,0.000648878,0.00198149,0.00577971,3.9e-08,0.00212972,0.00887045,0.000784813,0.00120158,0.000455302,0.00243267,0.00127167,0.000274433,0.000895368,0.000433729,0.00758438,0.001503,4.04e-08,0.000719644
"crp",0.0020792,9.76e-08,0.000410563,3.23e-08,0.000926587,0.000245883,0.0192116,4.03e-05,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000177085,4.89e-08,0.00408873,0.000895938,7.12e-08,4.04e-08,9.11e-08
"csf",8.42e-08,9.76e-08,1.32e-07,3.23e-08,6.91e-05,8.98e-05,1.51e-07,1.01e-07,0.00303048,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000292133,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"cutan",8.42e-08,9.76e-08,0.000172248,0.000235997,0.00038663,0.000101498,1.51e-07,1.01e-07,0.00550154,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000206294,9.11e-08
"cxr",0.00260108,9.76e-08,1.32e-07,3.23e-08,0.000108013,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,9.75e-05,8.7e-08,0.000114037,4.04e-08,9.11e-08
"cytokin",8.42e-08,0.000185593,1.32e-07,3.23e-08,2.16e-08,0.020608,0.00385151,1.01e-07,0.00373172,0.00610889,3e-08,4.77e-08,5.81e-08,8.85e-08,0.00020064,0.00337218,0.00692337,7.12e-08,0.00402401,0.000501045
"databas",0.000833414,0.0045008,1.32e-07,0.00253423,0.00117929,0.00104195,1.51e-07,0.0318207,0.00181999,6.75e-08,0.000811732,0.00192706,0.00153877,8.85e-08,0.00117424,0.00436843,0.00116556,0.00127507,0.00216773,0.00360696
"decision-mak",8.42e-08,9.76e-08,1.32e-07,0.00175845,0.000902829,3.9e-08,1.51e-07,1.01e-07,0.000459234,6.82e-06,0.00165938,0.0040878,0.00132973,8.85e-08,4.89e-08,0.000188595,0.000556732,7.12e-08,4.04e-08,0.000100282
"declin",8.42e-08,9.76e-08,1.32e-07,0.000536609,0.00134775,0.0007883,0.000302218,1.01e-07,8.35e-08,6.75e-08,0.000380422,0.00125929,0.00367554,8.85e-08,0.00012236,3.14e-08,0.000104458,7.12e-08,4.04e-08,9.11e-08
"decontamin",0.000117929,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.000100262,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000147946,0.00316263,0.000129454,9.11e-08
"decreas",8.42e-08,0.000654213,0.0023568,0.00395002,0.00142767,0.00366428,0.0101194,1.01e-07,0.000542716,0.00307135,0.00190798,0.000729834,0.00581812,8.85e-08,0.0029502,0.00242622,8.7e-08,0.000890433,4.04e-08,0.000746969
"dehydrogenas",0.00132163,0.000146541,0.000820994,3.26e-06,0.00120304,0.000281003,0.0169008,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00148026,0.00205272,7.12e-08,4.04e-08,9.11e-08
"depress",8.42e-08,9.76e-08,1.34e-05,3.23e-08,0.00116849,0.000136619,1.51e-07,0.000925352,0.000676287,6.75e-08,0.00165938,4.77e-08,5.81e-08,8.85e-08,0.0134494,3.14e-08,0.000339293,7.12e-08,4.04e-08,9.11e-08
"deterior",8.42e-08,9.76e-08,1.32e-07,0.000368525,0.0013132,0.00106926,0.00321717,1.01e-07,0.00126901,0.00258535,5.99e-05,0.000257619,5.81e-08,8.85e-08,4.89e-08,0.00101199,8.7e-08,0.000270741,4.04e-08,9.11e-08
"diabet",1.69e-05,0.000566347,1.32e-07,0.000439638,0.00130888,0.00429645,1.51e-07,0.00158912,8.35e-08,0.00333461,0.00106333,4.77e-08,5.81e-08,8.85e-08,0.000665423,0.00915481,0.000887241,7.12e-08,0.000962557,9.11e-08
"diarrhea",0.00175092,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,0.000452669,0.00210383,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00259907,8.7e-08,7.12e-08,0.00216773,0.00102932
"diet",8.42e-08,9.76e-08,0.00345569,3.23e-08,2.16e-08,0.000417583,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000874631,0.000424564,5.81e-08,8.85e-08,0.00102257,3.14e-08,0.000504547,7.12e-08,8.5e-05,9.11e-08
"dietari",8.42e-08,9.76e-08,0.0033233,3.23e-08,0.000164168,0.000624404,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000452307,0.000100214,5.81e-08,8.85e-08,0.000347413,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"dispar",8.42e-08,9.76e-08,1.32e-07,0.000258624,0.00038447,0.000261492,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00305814,0.000338707,0.00065038,8.85e-08,0.000538219,0.000374017,8.7e-08,7.12e-08,4.04e-08,0.000246014
"diverg",8.42e-08,0.000117253,1.32e-07,3.23e-08,2.16e-08,0.000160033,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000296556,0.000682135,5.81e-08,8.85e-08,4.89e-08,0.000226308,8.7e-08,7.12e-08,4.04e-08,0.00261416
"dizzi",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000585334,3.9e-08,1.51e-07,0.00055324,0.00280508,6.75e-08,3e-08,3.34e-05,5.81e-08,8.85e-08,8.81e-05,3.14e-08,8.7e-08,0.000270741,4.04e-08,9.11e-08
"dock",8.42e-08,0.0122233,1.32e-07,3.23e-08,2.16e-08,0.00046441,1.51e-07,0.000130843,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,9.46e-06,8.7e-08,7.12e-08,0.000109234,0.00172155
"double-blind",0.000101094,9.76e-08,1.32e-07,3.23e-08,2.16e-08,6.64e-05,1.51e-07,0.000211299,0.000392448,6.75e-08,3e-08,4.77e-08,7.55e-05,8.85e-08,4.89e-08,0.000279735,0.00323559,7.12e-08,4.04e-08,9.11e-08
"droplet",0.000505133,9.76e-08,2.66e-05,0.000258624,2.16e-08,0.000199055,1.51e-07,0.000331984,8.35e-08,6.75e-08,9.29e-05,4.77e-08,5.81e-08,0.000743475,4.89e-08,0.000603436,8.7e-08,0.01275,0.00536263,9.11e-08
"druggabl",8.42e-08,0.00187458,1.32e-07,3.23e-08,2.16e-08,0.000222469,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"dysbiosi",8.42e-08,9.76e-08,0.00213172,3.23e-08,7.99e-05,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.86e-05,9.11e-08
"dysgeusia",8.5e-06,9.76e-08,1.32e-07,3.23e-08,0.000282959,3.9e-08,1.51e-07,0.000150957,0.00202869,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,5.39e-05,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"ec50",8.42e-08,0.00210889,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.0003132,7.12e-08,4.04e-08,9.11e-08
"ecg",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000209525,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.00160659,3e-08,4.77e-08,5.81e-08,8.85e-08,0.00012236,3.14e-08,0.002131,0.000199512,4.08e-06,9.11e-08
"effus",0.00898995,9.76e-08,1.32e-07,3.23e-08,0.000354233,3.9e-08,1.51e-07,1.01e-07,0.000183744,0.00145133,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000534296,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"eject",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,9.06e-05,8.35e-08,0.00218709,1.8e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000323733,0.000243619,0.000199512,4.04e-08,9.11e-08
"elect",8.42e-08,6.84e-05,1.32e-07,0.009277,0.000892029,3.9e-08,1.51e-07,1.01e-07,0.000183744,6.75e-08,0.000667962,0.000515191,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000783589,4.08e-06,9.11e-08
"element",8.42e-08,0.00024417,0.00303202,0.000235997,2.16e-08,0.000495629,1.51e-07,1.01e-07,0.000676287,0.000783077,0.00162643,0.00262346,5.81e-08,8.85e-08,4.89e-08,0.0010937,0.0105068,0.000783589,4.04e-08,0.000865376
"elig",8.42e-08,9.76e-08,1.32e-07,0.000989144,0.00088771,3.9e-08,1.51e-07,0.00843799,5.02e-05,6.75e-08,0.00109328,4.77e-08,5.81e-08,0.000849673,0.000528434,0.00206795,0.00718429,0.000406076,4.04e-08,9.11e-08
"elisa",8.42e-08,9.77e-05,1.32e-07,3.23e-08,0.000278639,0.00029271,0.000105875,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00410641,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000692319
"embas",0.000378871,0.000302748,1.32e-07,3.23e-08,0.00231535,3.9e-08,0.00178235,0.0210093,0.000442538,6.75e-08,0.000125829,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000762221,4.04e-08,9.11e-08
"embol",0.00111119,9.76e-08,1.32e-07,0.000187511,0.000777559,3.9e-08,1.53e-05,1.01e-07,0.000217136,0.00654764,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"endoscopi",8.42e-08,9.76e-08,1.32e-07,0.0026312,0.000172808,3.94e-06,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000141454,8.7e-08,0.00292758,0.00105153,9.11e-08
"endotrach",8.42e-08,9.76e-08,1.32e-07,0.00052368,0.000187926,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.00024307,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000518582,0.000426269,0.00264979,4.04e-08,9.11e-08
"english",8.42e-08,9.76e-08,1.32e-07,0.000278018,2.16e-08,3.9e-08,1.51e-07,0.00375139,0.000158699,6.75e-08,0.000488249,0.000939707,5.81e-08,8.85e-08,0.000792626,0.000823427,8.7e-08,7.12e-08,0.00042468,9.11e-08
"epitheli",8.42e-08,0.000400377,0.00112551,3.23e-08,0.000796997,0.00449156,1.51e-07,1.01e-07,0.000951777,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000186073,0.000628561
"epitop",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000132717,1.51e-07,1.01e-07,4.18e-05,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000274433,4.89e-08,3.14e-08,8.7e-08,0.00012116,0.000182029,0.00859829
"equip",8.42e-08,9.76e-08,0.000847473,0.0104988,0.00307777,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00309708,0.000648747,0.000400703,0.00142491,0.000817089,3.14e-08,8.7e-08,0.0214471,0.000711818,9.11e-08
"erythrocyt",0.00081658,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000222469,0.00483323,0.000201242,0.000317315,0.000330821,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000716574,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"estudio",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00172193,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"ethnic",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.00128728,0.000175642,1.51e-07,0.000221356,8.35e-08,8.78e-05,0.00278258,0.000162222,0.000272961,8.85e-08,0.00109596,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"eua",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3.3e-05,4.77e-08,5.81e-08,0.00266389,4.89e-08,3.14e-08,0.000226224,7.12e-08,4.04e-08,9.11e-08
"eudract",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000447105,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.00220927,7.12e-08,4.04e-08,9.11e-08
"euroimmun",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00304443,4.89e-08,4.4e-05,0.000147946,7.12e-08,4.04e-08,9.11e-08
"evolutionari",8.42e-08,9.76e-08,0.000662117,3.23e-08,0.00026784,0.000171739,1.51e-07,1.01e-07,8.35e-08,6.75e-08,1.5e-05,0.000333937,0.000145219,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000141587,0.00608441
"exclus",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000978422,0.000245883,1.51e-07,0.00307757,0.000684635,6.75e-08,0.000350469,0.00118297,0.000574896,8.85e-08,0.0004208,0.000399158,0.00605361,0.000313478,4.04e-08,0.000346205
"express",8.42e-08,0.0024994,0.00263483,3.23e-08,0.00184235,0.016495,0.000740216,0.000291756,0.00210383,6.75e-08,3e-08,0.00085862,0.000563283,8.85e-08,0.000743702,3.14e-08,8.7e-08,0.000149652,0.000554094,0.00694969
"extracellular",8.42e-08,0.000429666,0.0005562,3.23e-08,0.000101533,0.00327015,1.51e-07,1.01e-07,0.000308967,0.000303821,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000321898,7.12e-08,4.04e-08,0.000209581
"face",8.42e-08,9.76e-08,0.000185488,0.00116046,2.16e-08,3.9e-08,1.51e-07,3.03e-05,0.000809858,6.75e-08,0.0028335,0.00146439,5.81e-08,8.85e-08,0.0030774,0.000229451,0.00078287,0.0130563,0.000816966,9.11e-08
"facepiec",8.42e-08,9.76e-08,1.32e-07,6.5e-06,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00151725,4.04e-08,9.11e-08
"false-neg",0.0006819,9.76e-08,0.00011929,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00286744,4.89e-08,0.000141454,8.7e-08,7.12e-08,4.45e-05,9.11e-08
"famili",0.00215496,0.00360261,0.00127114,0.00123481,0.00285531,0.00175607,1.51e-07,0.000955523,0.00206209,6.75e-08,0.0102017,0.00083954,0.000807154,0.000690376,0.00849824,0.00142055,8.7e-08,7.12e-08,0.00626449,0.00527377
"familiar",0.000858667,9.76e-08,1.32e-07,0.000662673,0.000198726,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000572115,0.000615358,5.81e-08,8.85e-08,4.89e-08,0.000565723,0.0113417,0.000769343,4.04e-08,9.11e-08
"fatigu",0.0056903,9.76e-08,0.000172248,2.91e-05,0.0017106,0.000113205,0.00282448,0.00148855,0.0017532,6.75e-08,3e-08,0.000157453,5.81e-08,8.85e-08,0.0009394,0.00289449,8.7e-08,7.12e-08,0.00239824,9.11e-08
"fatti",8.42e-08,9.76e-08,0.00373373,3.23e-08,0.00014689,0.000163935,0.000272012,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"fda",8.42e-08,0.00264585,1.32e-07,3.23e-08,2.16e-08,0.000483922,1.51e-07,1.01e-07,8.35e-08,4.06e-05,0.000128824,9.07e-05,5.81e-08,0.00144261,4.89e-08,0.000185453,0.000878543,0.000256495,4.04e-08,9.11e-08
"femal",0.00589232,9.76e-08,1.32e-07,0.000827525,0.000991381,0.00133072,1.51e-07,1.01e-07,0.0049923,0.0023761,0.00156952,4.77e-08,0.000360058,0.000778874,0.0103623,0.00943451,0.00241802,0.000178144,4.04e-08,4.56e-05
"ferritin",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000704125,0.000483922,0.00641908,1.01e-07,8.35e-08,0.000931578,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000857997,0.000574128,7.12e-08,4.04e-08,9.11e-08
"fetus",8.42e-08,9.76e-08,1.32e-07,3.23e-08,5.4e-05,3.9e-08,1.51e-07,0.00254454,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000177985,9.11e-08
"ffp2",8.42e-08,9.76e-08,1.32e-07,3.23e-08,8.86e-05,3.94e-06,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.0026213,4.04e-08,9.11e-08
"fibrin",0.000319948,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000253687,1.51e-07,0.000100671,0.000375752,0.0028486,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"fibrinogen",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000226803,0.000101498,0.00524102,1.01e-07,8.35e-08,0.00284185,3e-08,1.44e-05,5.81e-08,8.85e-08,4.89e-08,0.000336304,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"fibrosi",0.00206237,9.76e-08,0.000437042,3.23e-08,0.000781878,0.00258725,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000122834,9.07e-05,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000147946,7.12e-08,4.04e-08,9.11e-08
"fio2",0.00061456,9.76e-08,1.32e-07,3.23e-08,0.000401749,3.9e-08,0.00267345,1.01e-07,8.35e-08,0.000276821,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000597151,0.00322689,7.12e-08,4.04e-08,9.11e-08
"firm",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.000513073,4.2e-05,0.00296689,5.81e-08,8.85e-08,4.89e-08,0.000207452,8.7e-08,7.12e-08,4.04e-08,0.000327989
"first",0.00404889,0.00331949,0.00378669,0.00643572,0.0166285,0.00144778,0.00413847,1.01e-07,0.00591895,0.00116783,0.00673925,0.00643934,0.0149807,0.00795609,0.00710878,3.14e-08,0.00272243,0.000755098,0.00462255,0.00577473
"framework",0.000218939,9.76e-08,0.000595919,0.00226271,2.16e-08,5.47e-05,1.51e-07,0.00086501,8.35e-08,0.000344321,0.00469352,0.0103172,0.000871025,8.85e-08,0.000577358,3.14e-08,8.7e-08,0.00149588,0.00122543,0.00104754
